name,value,year,lastValue,rank
05 Охрана окружающей среды,8710375.5,2004.4,9500286.3,241
"08 Отдых, культура и религия",38041192.45,2004.4,36012572.260000005,242
06 Жилищные и коммунальные услуги,48745800.74999999,2004.4,56305679.57999999,243
07 Здравоохранение,69371526.55000001,2004.4,65348827.74000001,244
09 Образование,137133898.65,2004.4,133558877.7,245
10 Социальная защита,174745370.9,2004.4,171474703.52,246
04 Экономические вопросы,187541091.50000006,2004.4,171954175.70000005,247
03 Общественный порядок и безопасность,313561703.95,2004.4,311346655.24,248
02 Оборона,337368240.35,2004.4,336335910.1,249
01 Государственные службы общего назначения,1512591764.8,2004.4,1466894750.06,250
05 Охрана окружающей среды,7920464.699999999,2004.5,8710375.5,251
"08 Отдых, культура и религия",40069812.64000001,2004.5,38041192.45,252
06 Жилищные и коммунальные услуги,41185921.91999999,2004.5,48745800.74999999,253
07 Здравоохранение,73394225.36000001,2004.5,69371526.55000001,254
09 Образование,140708919.60000002,2004.5,137133898.65,255
10 Социальная защита,178016038.28,2004.5,174745370.9,256
04 Экономические вопросы,203128007.30000004,2004.5,187541091.50000006,257
03 Общественный порядок и безопасность,315776752.65999997,2004.5,313561703.95,258
02 Оборона,338400570.6,2004.5,337368240.35,259
01 Государственные службы общего назначения,1558288779.54,2004.5,1512591764.8,260
05 Охрана окружающей среды,7130553.899999999,2004.6,7920464.699999999,261
06 Жилищные и коммунальные услуги,33626043.08999999,2004.6,41185921.91999999,262
"08 Отдых, культура и религия",42098432.83000001,2004.6,40069812.64000001,263
07 Здравоохранение,77416924.17000002,2004.6,73394225.36000001,264
09 Образование,144283940.55,2004.6,140708919.60000002,265
10 Социальная защита,181286705.66,2004.6,178016038.28,266
04 Экономические вопросы,218714923.10000005,2004.6,203128007.30000004,267
03 Общественный порядок и безопасность,317991801.37,2004.6,315776752.65999997,268
02 Оборона,339432900.85,2004.6,338400570.6,269
01 Государственные службы общего назначения,1603985794.28,2004.6,1558288779.54,270
05 Охрана окружающей среды,6340643.1,2004.7,7130553.899999999,271
06 Жилищные и коммунальные услуги,26066164.25999999,2004.7,33626043.08999999,272
"08 Отдых, культура и религия",44127053.02000001,2004.7,42098432.83000001,273
07 Здравоохранение,81439622.98,2004.7,77416924.17000002,274
09 Образование,147858961.5,2004.7,144283940.55,275
10 Социальная защита,184557373.04000002,2004.7,181286705.66,276
04 Экономические вопросы,234301838.90000007,2004.7,218714923.10000005,277
03 Общественный порядок и безопасность,320206850.08,2004.7,317991801.37,278
02 Оборона,340465231.1,2004.7,339432900.85,279
01 Государственные службы общего назначения,1649682809.02,2004.7,1603985794.28,280
05 Охрана окружающей среды,5550732.3,2004.8,6340643.1,281
06 Жилищные и коммунальные услуги,18506285.429999992,2004.8,26066164.25999999,282
"08 Отдых, культура и религия",46155673.21000001,2004.8,44127053.02000001,283
07 Здравоохранение,85462321.79,2004.8,81439622.98,284
09 Образование,151433982.45000002,2004.8,147858961.5,285
10 Социальная защита,187828040.42000002,2004.8,184557373.04000002,286
04 Экономические вопросы,249888754.70000008,2004.8,234301838.90000007,287
03 Общественный порядок и безопасность,322421898.79,2004.8,320206850.08,288
02 Оборона,341497561.35,2004.8,340465231.1,289
01 Государственные службы общего назначения,1695379823.76,2004.8,1649682809.02,290
05 Охрана окружающей среды,4760821.5,2004.9,5550732.3,291
06 Жилищные и коммунальные услуги,10946406.599999994,2004.9,18506285.429999992,292
"08 Отдых, культура и религия",48184293.40000001,2004.9,46155673.21000001,293
07 Здравоохранение,89485020.60000001,2004.9,85462321.79,294
09 Образование,155009003.4,2004.9,151433982.45000002,295
10 Социальная защита,191098707.8,2004.9,187828040.42000002,296
04 Экономические вопросы,265475670.5000001,2004.9,249888754.70000008,297
03 Общественный порядок и безопасность,324636947.5,2004.9,322421898.79,298
02 Оборона,342529891.6,2004.9,341497561.35,299
01 Государственные службы общего назначения,1741076838.5,2004.9,1695379823.76,300
05 Охрана окружающей среды,4966378.249999999,2005.0,4760821.499999999,301
06 Жилищные и коммунальные услуги,15101312.779999997,2005.0,10946406.6,302
"08 Отдых, культура и религия",48930655.65000001,2005.0,48184293.40000001,303
07 Здравоохранение,95979119.13000001,2005.0,89485020.60000001,304
09 Образование,160208653.86,2005.0,155009003.4,305
